Q1,Q2,Q3,Q4,Q5,Q6,Q10,Q11,Q12,Q13,Q14,Q15,Q19,Q20,Q21,Q22,Q25,Q26,Q27,Q28
Slightly high,Rarely,Mostly predictable,High,Slight impact,Hectic,Managing,Moderate,Satisfied and clear,Clarify immediately,Rarely,Feel stressed,Sometimes,Very comfortable,Mostly clear,Rare,Low,Fully refreshed,Slight discomfort,Noticeable
Slightly high,Rarely,Predictable,High,Slight impact,Hectic,Managing,Moderate,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Sometimes,Uncomfortable,Sometimes unclear,Rare,Very low,Fully refreshed,Comfortable,Minimal
High,Frequently,Mostly predictable,Low,Improve productivity,Controlled,Managing,Weak,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Often,Slightly uncomfortable,Sometimes unclear,Occasional,High,Slightly refreshed,Slight discomfort,Mild
High,Frequently,Predictable,Moderate,Slight impact,Busy,In control,Weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Occasional,Moderate,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Almost daily,Predictable,High,Improve productivity,Hectic,In control,Strong,Slightly tired,Delay starting,Rarely,Adjust quickly,Always,Very comfortable,Clear,Rare,High,Slightly refreshed,Uncomfortable,Minimal
Well-balanced,Rarely,Mostly predictable,Low,Improve productivity,Controlled,Managing,Weak,Slightly tired,Try to figure out,Rarely,Analyze and fix,Sometimes,Slightly uncomfortable,Clear,Frequent,Low,Slightly refreshed,Noticeable strain,Noticeable
Well-balanced,Rarely,Mostly predictable,Low,Major disruption,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Constantly,Analyze and fix,Sometimes,Comfortable,Clear,Occasional,Moderate,Fully refreshed,Slight discomfort,Mild
Very high,Rarely,Predictable,Moderate,Improve productivity,Controlled,In control,Moderate,Mentally drained,Clarify immediately,Occasionally,Feel stressed,Always,Slightly uncomfortable,Clear,Constant,High,Fully refreshed,Slight discomfort,Minimal
Very high,Frequently,Predictable,High,Improve productivity,Controlled,In control,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Sometimes,Very comfortable,Clear,Rare,High,Fully refreshed,Noticeable strain,Minimal
Slightly high,Frequently,Predictable,Moderate,Slight impact,Chaotic,In control,Strong,Slightly tired,Try to figure out,Occasionally,Feel stressed,Always,Very comfortable,Sometimes unclear,Frequent,Moderate,Mostly refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,High,Improve productivity,Controlled,In control,Strong,Slightly tired,Delay starting,Frequently,Analyze and fix,Always,Very comfortable,Clear,Occasional,Moderate,Slightly refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Mostly predictable,Low,Improve productivity,Hectic,Managing,Very weak,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Sometimes,Comfortable,Clear,Frequent,High,Slightly refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Mostly predictable,Low,Improve productivity,Busy,In control,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Uncomfortable,Clear,Occasional,Low,Slightly refreshed,Noticeable strain,Mild
Slightly high,Frequently,Predictable,Low,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Occasional,Moderate,Mostly refreshed,Comfortable,Minimal
Very high,Rarely,Mostly predictable,High,Improve productivity,Controlled,Struggling,Very weak,Slightly tired,Try to figure out,Frequently,Feel stressed,Always,Comfortable,Clear,Rare,Moderate,Slightly refreshed,Comfortable,High
Well-balanced,Almost daily,Mostly predictable,High,Reduce productivity,Controlled,Struggling,Moderate,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Always,Comfortable,Clear,Occasional,Moderate,Slightly refreshed,Noticeable strain,Noticeable
High,Rarely,Highly unpredictable,High,Slight impact,Busy,Struggling,Moderate,Slightly tired,Try to figure out,Rarely,Feel stressed,Always,Slightly uncomfortable,Mostly clear,Occasional,Low,Slightly refreshed,Slight discomfort,Noticeable
Slightly high,Almost daily,Predictable,Low,Major disruption,Controlled,Managing,Strong,Slightly tired,Clarify immediately,Constantly,Analyze and fix,Often,Slightly uncomfortable,Clear,Constant,High,Mostly refreshed,Slight discomfort,Noticeable
Slightly high,Occasionally,Predictable,High,Slight impact,Busy,Struggling,Moderate,Overwhelmed,Try to figure out,Rarely,Avoid dealing,Always,Very comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Slight discomfort,Noticeable
Well-balanced,Rarely,Mostly predictable,High,Major disruption,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Slightly uncomfortable,Clear,Rare,Low,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Occasionally,Predictable,High,Improve productivity,Busy,In control,Moderate,Overwhelmed,Clarify immediately,Frequently,Feel stressed,Always,Very comfortable,Clear,Constant,Low,Mostly refreshed,Slight discomfort,Minimal
Very high,Frequently,Mostly predictable,High,Improve productivity,Controlled,Managing,Moderate,Satisfied and clear,Delay starting,Occasionally,Adjust quickly,Sometimes,Very comfortable,Mostly clear,Frequent,High,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Almost daily,Predictable,Low,Slight impact,Busy,Managing,Weak,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Rarely,Slightly uncomfortable,Sometimes unclear,Frequent,Moderate,Fully refreshed,Noticeable strain,Noticeable
High,Rarely,Predictable,Moderate,Slight impact,Controlled,In control,Moderate,Overwhelmed,Clarify immediately,Constantly,Adjust quickly,Always,Uncomfortable,Often unclear,Constant,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Occasionally,Predictable,No control,Improve productivity,Busy,Managing,Moderate,Overwhelmed,Avoid it,Occasionally,Adjust quickly,Always,Comfortable,Clear,Rare,Low,Mostly refreshed,Uncomfortable,Noticeable
Slightly high,Frequently,Predictable,High,Improve productivity,Hectic,Managing,Very weak,Slightly tired,Try to figure out,Rarely,Analyze and fix,Often,Comfortable,Mostly clear,Rare,Very low,Fully refreshed,Comfortable,Mild
Slightly high,Rarely,Mostly predictable,Moderate,Major disruption,Controlled,In control,Moderate,Satisfied and clear,Avoid it,Frequently,Analyze and fix,Always,Very comfortable,Sometimes unclear,Occasional,High,Fully refreshed,Comfortable,Mild
Well-balanced,Occasionally,Mostly predictable,Low,Reduce productivity,Hectic,In control,Strong,Slightly tired,Delay starting,Occasionally,Analyze and fix,Always,Very comfortable,Clear,Occasional,Moderate,Fully refreshed,Noticeable strain,High
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,Managing,Strong,Slightly tired,Avoid it,Constantly,Avoid dealing,Always,Comfortable,Clear,Occasional,Moderate,Slightly refreshed,Comfortable,High
Very high,Rarely,Predictable,Moderate,Improve productivity,Busy,In control,Weak,Overwhelmed,Try to figure out,Rarely,Adjust quickly,Often,Very comfortable,Clear,Rare,High,Fully refreshed,Uncomfortable,Minimal
Well-balanced,Rarely,Highly unpredictable,Low,Slight impact,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Occasionally,Analyze and fix,Often,Comfortable,Clear,Occasional,High,Slightly refreshed,Slight discomfort,Minimal
Well-balanced,Frequently,Predictable,Moderate,Improve productivity,Hectic,Managing,Weak,Slightly tired,Clarify immediately,Occasionally,Feel stressed,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Comfortable,Minimal
High,Frequently,Mostly predictable,Moderate,Improve productivity,Busy,Managing,Strong,Slightly tired,Avoid it,Rarely,Avoid dealing,Often,Comfortable,Clear,Occasional,Low,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Highly unpredictable,Moderate,Slight impact,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Occasional,Moderate,Mostly refreshed,Comfortable,High
Very high,Rarely,Predictable,Moderate,Slight impact,Controlled,Struggling,Moderate,Mentally drained,Clarify immediately,Rarely,Feel stressed,Often,Very comfortable,Clear,Occasional,Very low,Mostly refreshed,Slight discomfort,High
Well-balanced,Frequently,Sometimes unpredictable,Moderate,Improve productivity,Chaotic,Struggling,Weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Sometimes,Very comfortable,Mostly clear,Occasional,High,Mostly refreshed,Slight discomfort,Mild
Slightly high,Rarely,Predictable,High,Slight impact,Controlled,Managing,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Sometimes,Very comfortable,Clear,Rare,High,Mostly refreshed,Noticeable strain,Mild
High,Frequently,Predictable,No control,Slight impact,Busy,In control,Moderate,Mentally drained,Delay starting,Occasionally,Analyze and fix,Often,Slightly uncomfortable,Sometimes unclear,Frequent,Moderate,Fully refreshed,Comfortable,Mild
Slightly high,Rarely,Sometimes unpredictable,High,Improve productivity,Hectic,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Very comfortable,Sometimes unclear,Frequent,Moderate,Slightly refreshed,Comfortable,Minimal
Well-balanced,Rarely,Predictable,High,Improve productivity,Controlled,In control,Strong,Slightly tired,Delay starting,Rarely,Adjust quickly,Always,Very comfortable,Sometimes unclear,Occasional,High,Fully refreshed,Slight discomfort,High
Slightly high,Occasionally,Mostly predictable,High,Reduce productivity,Controlled,Managing,Strong,Satisfied and clear,Avoid it,Occasionally,Adjust quickly,Often,Comfortable,Clear,Rare,High,Mostly refreshed,Comfortable,Mild
Slightly high,Rarely,Sometimes unpredictable,No control,Reduce productivity,Busy,Managing,Strong,Mentally drained,Try to figure out,Frequently,Analyze and fix,Sometimes,Very comfortable,Clear,Frequent,Very low,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,Low,Reduce productivity,Chaotic,In control,Moderate,Satisfied and clear,Try to figure out,Rarely,Adjust quickly,Always,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Predictable,Moderate,Slight impact,Controlled,Managing,Moderate,Overwhelmed,Try to figure out,Occasionally,Adjust quickly,Often,Comfortable,Mostly clear,Frequent,High,Not refreshed,Noticeable strain,Minimal
High,Occasionally,Mostly predictable,High,Slight impact,Controlled,In control,Moderate,Slightly tired,Clarify immediately,Occasionally,Feel stressed,Often,Slightly uncomfortable,Sometimes unclear,Rare,High,Fully refreshed,Noticeable strain,Mild
Slightly high,Occasionally,Sometimes unpredictable,No control,Major disruption,Hectic,Overwhelmed,Moderate,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Sometimes,Comfortable,Clear,Rare,Moderate,Fully refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Highly unpredictable,High,Slight impact,Controlled,Overwhelmed,Strong,Mentally drained,Clarify immediately,Occasionally,Feel stressed,Always,Very comfortable,Clear,Rare,High,Slightly refreshed,Comfortable,Minimal
Slightly high,Rarely,Sometimes unpredictable,High,Improve productivity,Busy,Managing,Moderate,Slightly tired,Try to figure out,Rarely,Analyze and fix,Sometimes,Very comfortable,Mostly clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Sometimes unpredictable,High,Slight impact,Busy,Struggling,Weak,Mentally drained,Try to figure out,Rarely,Feel stressed,Rarely,Very comfortable,Often unclear,Rare,Moderate,Mostly refreshed,Noticeable strain,Noticeable
Slightly high,Frequently,Predictable,Moderate,Slight impact,Hectic,Managing,Moderate,Slightly tired,Try to figure out,Occasionally,Adjust quickly,Always,Slightly uncomfortable,Often unclear,Occasional,High,Fully refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Predictable,Moderate,Reduce productivity,Controlled,Managing,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Rare,Low,Fully refreshed,Slight discomfort,Minimal
Very high,Rarely,Mostly predictable,High,Reduce productivity,Hectic,Struggling,Moderate,Satisfied and clear,Delay starting,Rarely,Adjust quickly,Rarely,Comfortable,Sometimes unclear,Frequent,Moderate,Mostly refreshed,Slight discomfort,Mild
Well-balanced,Frequently,Sometimes unpredictable,Low,Improve productivity,Controlled,Managing,Very weak,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Often,Very comfortable,Mostly clear,Constant,High,Mostly refreshed,Slight discomfort,Minimal
Slightly high,Occasionally,Predictable,Moderate,Reduce productivity,Busy,In control,Strong,Slightly tired,Try to figure out,Rarely,Adjust quickly,Sometimes,Uncomfortable,Mostly clear,Constant,High,Slightly refreshed,Slight discomfort,Noticeable
Slightly high,Rarely,Predictable,High,Reduce productivity,Busy,Struggling,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Slightly uncomfortable,Often unclear,Rare,High,Fully refreshed,Slight discomfort,Mild
Well-balanced,Frequently,Predictable,Low,Improve productivity,Busy,Struggling,Moderate,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Frequent,High,Fully refreshed,Noticeable strain,Minimal
Slightly high,Occasionally,Predictable,No control,Slight impact,Controlled,Struggling,Weak,Slightly tired,Delay starting,Rarely,Analyze and fix,Often,Very comfortable,Clear,Constant,Very low,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,Moderate,Improve productivity,Busy,In control,Strong,Satisfied and clear,Delay starting,Rarely,Adjust quickly,Often,Very comfortable,Clear,Occasional,Moderate,Fully refreshed,Slight discomfort,Mild
Well-balanced,Frequently,Predictable,Low,Slight impact,Controlled,In control,Weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Mostly clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Frequently,Predictable,No control,Reduce productivity,Busy,Overwhelmed,Moderate,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,Low,Mostly refreshed,Comfortable,Mild
Well-balanced,Occasionally,Mostly predictable,High,Slight impact,Controlled,Managing,Strong,Slightly tired,Delay starting,Occasionally,Analyze and fix,Always,Slightly uncomfortable,Sometimes unclear,Occasional,High,Fully refreshed,Comfortable,Minimal
Slightly high,Rarely,Sometimes unpredictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Always,Slightly uncomfortable,Mostly clear,Rare,Very low,Mostly refreshed,Noticeable strain,Mild
Well-balanced,Frequently,Predictable,High,Improve productivity,Busy,In control,Strong,Slightly tired,Try to figure out,Frequently,Adjust quickly,Always,Very comfortable,Clear,Occasional,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Predictable,Moderate,Improve productivity,Chaotic,Struggling,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Rarely,Comfortable,Sometimes unclear,Rare,Moderate,Slightly refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,Low,Improve productivity,Hectic,Struggling,Moderate,Satisfied and clear,Try to figure out,Rarely,Adjust quickly,Rarely,Very comfortable,Sometimes unclear,Frequent,Moderate,Fully refreshed,Slight discomfort,Mild
Well-balanced,Almost daily,Predictable,High,Slight impact,Controlled,In control,Strong,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Sometimes unclear,Occasional,Low,Slightly refreshed,Slight discomfort,Noticeable
High,Frequently,Mostly predictable,Moderate,Slight impact,Busy,In control,Strong,Satisfied and clear,Delay starting,Frequently,Analyze and fix,Sometimes,Uncomfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Mild
Slightly high,Rarely,Mostly predictable,High,Slight impact,Controlled,In control,Strong,Satisfied and clear,Avoid it,Occasionally,Adjust quickly,Always,Uncomfortable,Clear,Frequent,High,Fully refreshed,Comfortable,Minimal
Slightly high,Frequently,Mostly predictable,Moderate,Slight impact,Controlled,Overwhelmed,Weak,Slightly tired,Clarify immediately,Frequently,Adjust quickly,Always,Very comfortable,Clear,Occasional,Low,Fully refreshed,Comfortable,Minimal
Well-balanced,Frequently,Mostly predictable,High,Slight impact,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Frequently,Feel stressed,Always,Slightly uncomfortable,Clear,Occasional,Moderate,Fully refreshed,Noticeable strain,Mild
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Overwhelmed,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Clear,Rare,Moderate,Slightly refreshed,Comfortable,Minimal
Well-balanced,Occasionally,Predictable,Low,Improve productivity,Controlled,In control,Strong,Slightly tired,Delay starting,Rarely,Feel stressed,Rarely,Comfortable,Mostly clear,Occasional,High,Not refreshed,Slight discomfort,Noticeable
Well-balanced,Occasionally,Sometimes unpredictable,High,Improve productivity,Busy,In control,Weak,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Frequent,Low,Mostly refreshed,Comfortable,Minimal
Well-balanced,Rarely,Sometimes unpredictable,High,Slight impact,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Clear,Frequent,High,Fully refreshed,Uncomfortable,Mild
Very high,Frequently,Sometimes unpredictable,High,Improve productivity,Hectic,Struggling,Weak,Satisfied and clear,Avoid it,Frequently,Analyze and fix,Sometimes,Very comfortable,Mostly clear,Occasional,High,Mostly refreshed,Comfortable,Minimal
Slightly high,Rarely,Mostly predictable,No control,Improve productivity,Controlled,Struggling,Strong,Satisfied and clear,Clarify immediately,Frequently,Adjust quickly,Always,Slightly uncomfortable,Clear,Occasional,Moderate,Fully refreshed,Slight discomfort,Noticeable
Slightly high,Frequently,Mostly predictable,No control,Reduce productivity,Controlled,Managing,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Rarely,Slightly uncomfortable,Clear,Rare,High,Slightly refreshed,Noticeable strain,Mild
Well-balanced,Rarely,Mostly predictable,Low,Slight impact,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Often,Comfortable,Sometimes unclear,Frequent,Low,Slightly refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Mostly predictable,High,Reduce productivity,Controlled,In control,Strong,Overwhelmed,Delay starting,Rarely,Analyze and fix,Often,Slightly uncomfortable,Often unclear,Frequent,Moderate,Mostly refreshed,Comfortable,Minimal
High,Occasionally,Predictable,No control,Slight impact,Busy,In control,Strong,Mentally drained,Try to figure out,Constantly,Adjust quickly,Always,Very comfortable,Often unclear,Rare,High,Mostly refreshed,Uncomfortable,Mild
Well-balanced,Rarely,Predictable,High,Slight impact,Controlled,In control,Weak,Slightly tired,Clarify immediately,Frequently,Analyze and fix,Sometimes,Very comfortable,Clear,Rare,Low,Slightly refreshed,Slight discomfort,Mild
Well-balanced,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Moderate,Satisfied and clear,Delay starting,Frequently,Adjust quickly,Always,Slightly uncomfortable,Clear,Rare,Low,Slightly refreshed,Slight discomfort,Mild
High,Occasionally,Predictable,High,Reduce productivity,Controlled,Managing,Weak,Satisfied and clear,Try to figure out,Rarely,Feel stressed,Always,Uncomfortable,Clear,Rare,High,Slightly refreshed,Slight discomfort,Minimal
Slightly high,Rarely,Mostly predictable,Moderate,Slight impact,Controlled,Struggling,Weak,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Very comfortable,Mostly clear,Constant,High,Fully refreshed,Slight discomfort,Noticeable
Well-balanced,Occasionally,Mostly predictable,High,Slight impact,Hectic,In control,Moderate,Mentally drained,Clarify immediately,Frequently,Feel stressed,Always,Uncomfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly high,Occasionally,Mostly predictable,No control,Slight impact,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Occasionally,Analyze and fix,Always,Uncomfortable,Sometimes unclear,Occasional,Low,Fully refreshed,Slight discomfort,Mild
High,Rarely,Mostly predictable,Low,Slight impact,Busy,In control,Moderate,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Comfortable,Clear,Frequent,Moderate,Fully refreshed,Comfortable,Noticeable
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Busy,Managing,Strong,Satisfied and clear,Try to figure out,Rarely,Adjust quickly,Often,Very comfortable,Clear,Occasional,Low,Fully refreshed,Slight discomfort,Mild
Well-balanced,Rarely,Predictable,Low,Reduce productivity,Busy,Managing,Strong,Satisfied and clear,Clarify immediately,Occasionally,Adjust quickly,Often,Slightly uncomfortable,Clear,Rare,Low,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Rarely,Predictable,High,Slight impact,Controlled,In control,Weak,Mentally drained,Clarify immediately,Frequently,Analyze and fix,Often,Very comfortable,Mostly clear,Rare,High,Mostly refreshed,Comfortable,Mild
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Controlled,In control,Weak,Overwhelmed,Delay starting,Rarely,Adjust quickly,Always,Very comfortable,Sometimes unclear,Frequent,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Hectic,In control,Weak,Satisfied and clear,Avoid it,Constantly,Analyze and fix,Always,Very comfortable,Clear,Rare,High,Fully refreshed,Noticeable strain,Minimal
Well-balanced,Rarely,Sometimes unpredictable,No control,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Occasionally,Avoid dealing,Often,Comfortable,Mostly clear,Rare,Low,Slightly refreshed,Slight discomfort,Minimal
Well-balanced,Frequently,Sometimes unpredictable,Moderate,Slight impact,Controlled,Struggling,Strong,Mentally drained,Delay starting,Rarely,Adjust quickly,Sometimes,Slightly uncomfortable,Mostly clear,Frequent,High,Not refreshed,Slight discomfort,Minimal
Slightly high,Frequently,Predictable,High,Slight impact,Controlled,Managing,Strong,Mentally drained,Try to figure out,Rarely,Avoid dealing,Often,Comfortable,Clear,Constant,Low,Mostly refreshed,Comfortable,Mild
High,Occasionally,Mostly predictable,Moderate,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Delay starting,Rarely,Feel stressed,Often,Very comfortable,Sometimes unclear,Frequent,Very low,Mostly refreshed,Uncomfortable,Minimal
Well-balanced,Almost daily,Mostly predictable,High,Improve productivity,Controlled,Managing,Moderate,Slightly tired,Delay starting,Rarely,Feel stressed,Sometimes,Comfortable,Clear,Rare,Moderate,Mostly refreshed,Comfortable,Noticeable
Well-balanced,Rarely,Sometimes unpredictable,High,Improve productivity,Busy,Struggling,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Slightly uncomfortable,Mostly clear,Frequent,High,Fully refreshed,Comfortable,Minimal
Slightly high,Almost daily,Sometimes unpredictable,Moderate,Slight impact,Controlled,Struggling,Moderate,Slightly tired,Delay starting,Occasionally,Adjust quickly,Always,Slightly uncomfortable,Clear,Rare,Low,Fully refreshed,Noticeable strain,Minimal
High,Frequently,Predictable,Moderate,Improve productivity,Controlled,Managing,Strong,Slightly tired,Try to figure out,Frequently,Adjust quickly,Sometimes,Comfortable,Clear,Occasional,High,Fully refreshed,Slight discomfort,Mild
High,Rarely,Predictable,Low,Improve productivity,Chaotic,Managing,Strong,Slightly tired,Avoid it,Occasionally,Analyze and fix,Often,Slightly uncomfortable,Often unclear,Occasional,High,Slightly refreshed,Uncomfortable,Minimal
