Q1,Q2,Q3,Q4,Q5,Q6,Q10,Q11,Q12,Q13,Q14,Q15,Q19,Q20,Q21,Q22,Q25,Q26,Q27,Q28
Well-balanced,Occasionally,Sometimes unpredictable,Moderate,Slight impact,Controlled,Struggling,Strong,Slightly tired,Try to figure out,Rarely,Analyze and fix,Sometimes,Slightly uncomfortable,Mostly clear,Frequent,High,Mostly refreshed,Comfortable,Minimal
Well-balanced,Frequently,Predictable,High,Slight impact,Controlled,In control,Strong,Mentally drained,Clarify immediately,Rarely,Feel stressed,Often,Very comfortable,Clear,Frequent,Moderate,Fully refreshed,Comfortable,Mild
High,Occasionally,Predictable,Moderate,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Feel stressed,Always,Very comfortable,Mostly clear,Occasional,Low,Mostly refreshed,Uncomfortable,Minimal
Well-balanced,Almost daily,Mostly predictable,High,Improve productivity,Controlled,Managing,Moderate,Slightly tired,Try to figure out,Rarely,Feel stressed,Always,Comfortable,Clear,Rare,Moderate,Mostly refreshed,Comfortable,Mild
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Busy,Struggling,Strong,Satisfied and clear,Clarify immediately,Rarely,Adjust quickly,Always,Slightly uncomfortable,Mostly clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Slightly high,Frequently,Mostly predictable,Moderate,Improve productivity,Controlled,Struggling,Strong,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Always,Slightly uncomfortable,Clear,Rare,Low,Fully refreshed,Noticeable strain,Minimal
High,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Strong,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Sometimes,Very comfortable,Clear,Occasional,High,Fully refreshed,Slight discomfort,Mild
Slightly high,Rarely,Predictable,Moderate,Improve productivity,Chaotic,In control,Strong,Slightly tired,Delay starting,Occasionally,Analyze and fix,Always,Comfortable,Sometimes unclear,Rare,High,Mostly refreshed,Uncomfortable,Minimal
Very high,Rarely,Predictable,High,Improve productivity,Controlled,In control,Very weak,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Clear,Occasional,High,Mostly refreshed,Slight discomfort,Minimal
Well-balanced,Almost Daily,Predictable,Moderate,Slight impact,Controlled,In control,Moderate,Slightly tired,Delay starting,Occasionally,Analyze and fix,Always,Comfortable,Sometimes unclear,Rare,High,Mostly refreshed,Slight discomfort,Mild
