employee_id,meeting_hours,meeting_count,after_hours_work_hours,focus_hours,workday_span_hours
135,1.95,5,1.57,2.94,7.05
136,4.11,8,1.34,1.77,10.44
137,5.64,11,0.68,1.14,9.77
138,4.05,7,2.2,3.79,9.2
139,4.09,9,2.23,3.64,9.02
140,3.27,8,0.86,3.63,11.17
141,1.58,2,2.04,4.11,8.86
142,3.81,10,1.54,4.4,8.17
143,2.27,6,1.46,4.11,9.52
144,2.6,5,2.9,1.02,10.2
145,4.85,4,2.42,1.46,8.93
146,3.78,12,0.2,4.2,6.88
147,4.43,6,1.96,4.92,10.11
148,4.27,12,0.97,4.12,7.24
149,1.24,2,1.53,2.16,7.5
150,2.8,11,0.19,3.52,6.01
151,1.23,3,0.23,1.83,6.5
152,3.46,5,0.7,1.74,11.4
153,1.07,12,2.8,4.73,9.74
154,1.09,2,1.6,1.74,7.79
155,1.91,5,1.86,2.67,6.23
156,1.73,4,0.22,3.05,6.73
157,3.27,12,1.93,3.94,6.13
158,1.88,7,1.13,2.31,11.98
159,2.93,12,1.43,1.03,6.36
160,3.27,5,1.77,3.24,7.49
161,5.0,9,1.05,3.5,6.72
162,2.33,9,1.67,1.6,10.1
163,5.34,5,2.6,2.26,9.2
164,4.53,4,0.46,4.23,7.42
165,3.62,4,0.4,2.29,9.22
166,1.77,12,1.99,2.63,8.73
167,3.7,12,1.67,3.32,10.0
168,2.44,12,1.32,1.29,7.2
169,3.24,7,2.93,2.83,8.73
170,1.45,12,1.74,2.86,9.89
171,3.57,10,1.33,1.52,8.56
172,1.15,5,1.96,2.48,9.76
173,3.78,6,1.92,1.22,8.94
174,4.37,10,0.68,4.83,11.98
175,1.93,2,1.3,4.09,7.12
176,4.16,12,2.52,2.77,6.52
177,4.34,4,0.35,3.08,11.54
178,5.04,2,2.5,4.6,8.19
179,5.39,10,1.16,2.39,6.75
180,5.13,8,2.64,1.31,7.43
181,5.12,6,0.37,3.81,6.92
182,2.89,8,2.63,4.71,9.36
183,2.09,2,2.96,2.75,10.85
184,4.13,9,1.76,3.72,11.52
185,1.23,2,0.9,1.03,11.24
186,3.5,5,2.71,2.2,11.15
187,5.45,4,2.87,3.96,8.75
188,2.55,7,0.31,3.33,7.57
189,5.16,8,0.13,3.68,10.08
190,5.94,4,1.25,1.82,7.8
191,4.53,9,2.5,3.03,9.53
192,5.37,5,0.18,3.79,10.51
193,5.39,9,2.38,3.64,7.46
194,1.1,10,0.43,3.06,6.55
195,1.9,4,1.6,3.57,8.21
196,4.13,2,0.93,4.81,8.49
197,4.05,7,2.42,1.97,6.02
198,5.41,6,2.39,1.56,11.15
199,4.08,4,1.94,4.63,10.2
200,3.43,2,0.52,2.53,6.5
201,1.87,3,1.31,2.82,8.59
202,2.29,2,1.22,1.28,7.84
203,3.74,3,0.31,2.7,7.29
204,1.09,2,1.44,1.85,9.77
205,3.01,3,1.11,3.53,10.51
206,5.48,4,0.75,4.22,11.26
207,3.26,12,2.97,2.52,10.49
208,2.14,11,2.28,2.25,11.94
209,5.17,8,1.75,4.83,6.97
210,2.82,9,0.57,2.79,7.62
211,2.84,9,2.28,1.53,6.43
212,1.22,9,2.97,4.54,8.38
213,2.8,10,0.71,1.38,7.73
214,5.68,10,1.85,2.9,7.95
215,4.16,5,2.36,4.66,7.04
216,3.91,12,2.93,3.17,7.77
217,5.65,8,0.61,1.22,8.43
218,5.45,11,1.15,3.34,11.57
219,2.21,5,2.92,3.61,7.64
220,3.75,5,1.14,1.24,8.02
221,1.09,11,0.28,3.9,6.01
222,3.65,8,0.32,3.92,10.01
223,1.62,8,0.93,3.46,7.18
224,1.67,3,2.4,1.6,6.67
225,5.11,3,2.95,2.35,8.24
226,5.37,6,0.11,1.62,7.8
227,4.83,6,0.53,4.74,10.03
228,4.15,2,0.03,5.0,8.8
229,3.11,11,0.34,1.82,9.3
230,4.88,10,1.03,1.34,9.37
231,4.12,8,3.0,4.11,8.24
232,3.7,7,1.65,2.79,11.44
233,4.73,10,2.72,1.77,7.9
234,5.72,3,2.58,2.2,11.63
235,4.22,11,2.09,3.2,6.55
236,4.86,2,2.05,4.94,7.11
237,1.14,11,1.71,2.15,11.89
238,1.86,4,0.62,3.16,6.52
239,5.83,10,2.21,3.42,10.93
240,5.03,9,2.36,2.29,8.18
241,1.37,2,0.42,4.33,7.14
242,3.27,10,1.15,1.78,11.28
243,2.15,5,0.3,1.06,11.93
244,1.19,2,2.18,1.04,10.81
245,1.89,5,2.82,1.63,8.83
246,3.06,4,0.9,1.83,11.87
247,5.9,4,1.86,3.64,8.43
248,5.33,6,1.85,3.97,9.27
249,1.49,4,0.03,1.81,9.07
250,1.43,10,1.0,4.77,8.46
251,5.47,10,2.81,4.01,11.21
252,2.85,7,1.79,1.78,10.52
253,3.55,7,1.34,3.36,6.41
254,5.12,6,1.45,3.59,9.88
255,3.62,9,0.99,1.79,9.82
256,5.18,9,1.27,4.16,8.21
257,5.46,5,2.26,4.33,7.6
258,1.79,3,1.26,1.49,10.22
259,2.71,12,0.52,1.55,6.06
260,3.18,8,0.13,1.37,6.34
261,4.68,11,0.01,4.28,9.26
262,4.95,2,1.83,1.53,7.43
263,2.52,7,2.49,1.62,6.15
264,3.4,9,0.99,3.88,11.9
265,4.24,11,2.19,1.06,7.17
266,2.69,6,2.81,4.48,11.54
267,2.2,4,2.51,1.37,9.53
268,5.9,6,1.09,1.16,10.53
269,3.61,10,0.62,1.49,7.61
270,5.18,12,1.12,2.25,9.98
271,1.11,5,2.05,4.53,10.75
272,3.5,11,1.36,1.75,10.07
273,3.46,9,1.48,4.12,11.44
274,5.17,6,1.36,3.17,11.09
275,4.74,4,0.06,4.99,9.33
276,5.85,12,0.58,2.42,6.71
277,5.58,4,2.75,1.02,10.21
278,1.71,12,0.87,2.89,6.67
279,2.01,6,0.31,1.07,10.26
280,2.95,6,1.02,3.85,7.84
281,5.57,4,0.57,1.86,8.62
282,4.0,11,2.03,4.13,11.47
283,5.18,11,2.85,4.25,8.09
284,1.1,4,2.15,4.87,8.27
285,3.24,2,1.18,3.69,10.81
286,4.37,4,2.19,1.62,11.55
287,5.06,8,2.32,4.06,11.1
288,3.77,10,1.03,1.58,7.37
289,4.03,12,0.76,1.89,9.31
290,2.05,7,0.72,3.51,6.41
291,5.36,6,1.21,1.53,10.6
292,1.31,2,0.12,4.13,10.66
293,5.98,4,0.82,1.19,10.23
294,5.37,7,1.42,1.78,7.79
295,2.23,8,0.5,4.41,10.83
296,4.29,6,0.02,2.66,6.86
297,3.98,4,2.99,1.96,6.74
298,4.47,2,0.7,2.55,10.96
299,3.31,12,1.4,2.5,11.77
300,2.58,5,1.9,3.89,10.13
301,3.52,12,0.0,3.79,7.54
302,2.94,12,0.68,2.19,11.2
303,5.6,11,1.68,2.05,10.1
304,1.94,7,2.96,1.6,10.41
305,4.22,2,2.12,1.41,10.8
306,3.99,11,0.67,3.1,7.63
307,5.63,12,1.55,3.84,7.22
308,4.55,7,0.51,3.95,10.05
309,2.83,2,0.32,3.96,11.6
310,1.32,12,1.49,2.66,11.35
311,2.42,12,0.02,4.77,9.42
312,4.33,4,1.97,2.11,6.96
313,3.47,8,1.89,1.18,10.97
314,2.23,6,0.95,1.42,11.12
315,3.65,7,2.84,3.0,8.15
316,5.09,12,0.64,3.12,8.23
317,1.34,5,1.16,3.9,9.01
318,1.1,5,1.52,2.09,6.33
319,2.52,9,1.92,2.89,6.93
320,2.56,10,1.02,2.85,8.33
321,4.09,6,2.44,3.97,10.37
322,2.9,12,1.22,3.16,8.42
323,1.63,3,1.83,2.4,8.21
324,5.39,4,2.64,3.86,6.04
325,2.23,10,0.72,4.59,9.42
326,3.13,12,0.0,3.81,6.58
327,2.08,2,2.71,4.26,6.07
328,2.31,6,1.49,2.74,9.77
329,4.49,3,2.21,2.85,6.22
330,4.39,4,2.54,3.74,9.82
331,2.44,2,0.12,2.72,11.72
332,3.76,8,1.05,2.9,8.18
333,3.26,9,2.88,1.38,8.0
334,2.72,6,2.89,3.57,10.37
335,2.13,9,1.98,1.95,6.21
336,2.34,10,1.11,2.27,9.36
337,3.07,5,0.23,2.89,7.33
338,1.05,2,1.95,1.57,6.08
339,1.63,2,0.25,3.16,8.74
340,2.72,3,2.18,1.77,11.9
341,4.9,11,2.92,3.39,11.54
342,1.04,3,1.5,4.15,7.21
343,3.42,7,0.06,2.38,9.79
344,5.58,9,2.25,4.21,11.14
345,2.91,12,1.94,2.28,8.33
346,4.94,5,0.78,3.46,7.42
347,3.93,6,0.12,2.46,10.55
348,5.59,7,0.4,3.73,11.67
349,2.12,12,0.17,3.13,10.38
350,2.92,5,0.8,2.17,11.73
351,1.56,5,2.03,2.45,10.94
352,3.68,6,0.6,1.02,11.79
353,1.37,4,1.68,4.5,10.37
354,3.1,2,1.1,4.22,9.98
355,3.62,6,0.89,4.87,8.17
356,2.77,6,0.32,3.55,9.11
357,5.33,3,1.42,4.39,9.48
358,1.4,6,1.61,3.0,8.29
359,2.11,4,0.65,3.85,8.44
360,5.32,6,2.51,4.43,9.96
361,1.02,4,1.21,4.85,9.16
362,3.81,8,2.81,4.4,10.06
363,1.59,4,2.73,1.77,8.04
364,1.21,9,1.73,2.72,11.45
365,4.48,10,0.36,4.04,9.88
366,2.47,10,2.52,2.87,7.71
367,4.14,7,0.07,3.83,10.05
368,5.99,9,1.35,2.53,9.68
369,3.93,10,2.29,1.1,11.64
370,1.19,2,1.88,3.64,8.44
371,2.0,4,2.35,2.04,6.45
372,5.25,9,0.62,3.68,9.94
373,4.93,12,2.94,3.79,7.84
374,5.86,10,0.42,3.13,7.4
375,3.49,4,1.92,3.86,11.08
376,2.46,8,2.62,3.32,10.63
377,4.82,8,1.73,2.37,7.07
378,4.01,2,2.52,4.2,7.3
379,1.73,6,0.3,1.82,10.48
380,4.34,7,2.08,1.21,9.67
381,3.92,12,2.09,1.9,8.89
382,1.88,4,0.58,3.55,6.12
383,1.26,7,1.53,1.43,9.68
384,3.44,3,1.0,3.38,6.78
385,1.67,4,1.2,2.82,6.37
386,2.67,5,2.57,1.42,6.1
387,3.19,4,1.84,4.21,10.54
388,2.0,6,0.8,4.04,8.59
389,4.43,12,0.65,4.41,11.41
390,3.65,2,0.49,1.13,9.74
391,3.44,8,0.54,1.1,9.72
392,5.31,12,1.03,2.34,7.36
393,4.36,9,2.72,3.14,7.53
394,4.25,6,1.85,4.66,8.98
395,4.38,3,1.85,4.7,11.9
396,4.61,3,1.33,4.17,9.4
397,2.01,3,2.47,2.94,8.4
398,5.27,4,0.03,3.5,11.08
399,4.38,12,0.32,3.81,7.64
400,4.34,7,1.25,1.78,7.79
401,1.44,5,0.76,2.66,7.95
402,4.6,10,2.67,3.22,8.42
403,4.02,11,2.57,2.86,7.71
404,1.72,5,1.83,4.31,11.78
405,2.9,11,1.76,3.88,11.08
406,2.95,7,2.36,4.3,7.09
407,4.86,2,2.12,4.53,6.37
408,3.27,5,0.46,2.49,6.65
409,4.39,3,1.27,4.69,11.31
410,4.68,11,2.91,2.71,6.48
411,2.42,8,1.19,2.2,7.76
412,4.44,10,1.98,3.06,6.25
413,1.36,10,2.92,4.05,8.61
414,2.81,7,1.21,4.73,11.42
415,3.07,3,0.17,2.09,6.7
416,1.68,11,2.33,1.66,11.22
417,5.62,7,1.36,4.43,9.09
418,5.72,3,0.87,1.98,6.38
419,5.69,8,0.43,3.19,11.88
420,1.09,4,1.68,4.15,11.43
421,1.32,3,2.31,3.17,9.63
422,3.71,9,2.79,3.26,9.98
423,5.64,10,0.75,3.1,9.26
424,3.55,5,1.87,2.14,6.5
425,3.78,6,2.08,4.85,11.02
426,4.15,12,2.62,3.7,9.02
427,3.75,3,0.56,3.8,7.12
428,5.19,2,2.91,1.94,8.39
429,5.22,9,1.63,2.01,7.42
430,4.26,9,2.72,1.95,8.01
431,2.49,10,0.45,4.62,6.28
432,5.43,4,2.53,3.33,7.12
433,2.36,2,1.09,2.65,8.06
434,5.94,6,2.02,2.69,6.26
435,5.82,5,0.34,1.38,9.63
436,1.53,7,1.42,2.91,8.87
437,3.47,9,0.87,2.72,7.14
438,4.37,5,0.69,2.27,7.9
439,5.58,4,1.69,3.24,10.7
440,3.66,10,0.75,4.67,9.8
441,3.21,6,2.99,3.73,11.49
442,5.27,2,1.33,3.31,10.28
443,5.9,4,2.96,4.59,9.17
444,5.13,6,2.54,1.1,9.99
445,3.6,12,2.75,1.1,6.35
446,5.99,11,2.64,2.99,11.87
447,4.86,10,0.61,1.21,8.02
448,1.46,8,1.17,1.26,8.24
449,1.66,5,0.68,4.94,7.85
450,5.52,10,0.8,3.16,9.2
451,2.9,2,2.89,3.59,7.73
452,4.43,5,2.65,4.36,7.37
453,4.91,7,2.21,2.91,8.44
454,2.69,9,0.36,3.02,10.25
455,1.44,6,1.8,3.87,8.02
456,5.62,12,1.33,4.35,8.93
457,4.22,2,1.4,2.35,8.86
458,2.48,4,2.66,4.09,6.65
459,3.86,9,2.33,2.03,9.95
460,2.41,4,1.6,1.05,9.66
461,5.93,7,1.72,4.25,10.8
462,1.98,9,2.94,3.77,8.07
463,4.39,10,0.82,1.65,10.55
464,2.61,8,0.74,2.7,11.94
465,1.15,5,2.69,3.63,7.69
466,2.24,6,2.3,2.19,9.51
467,4.58,7,1.36,1.1,8.64
468,2.16,6,0.97,4.14,11.3
469,1.75,4,0.76,4.65,11.71
470,2.97,12,1.48,3.33,9.37
471,1.3,5,0.48,3.14,11.33
472,5.91,7,1.03,2.95,11.27
473,3.17,5,1.19,1.3,8.44
474,3.08,8,2.9,4.69,6.65
475,4.41,2,2.74,1.15,6.66
476,3.57,9,0.37,4.85,10.21
477,1.14,6,1.44,4.64,10.32
478,5.44,4,0.87,3.54,10.82
479,3.21,10,2.43,3.63,8.47
480,4.35,6,0.09,3.64,9.94
481,4.87,12,0.7,4.96,11.3
482,4.5,9,1.31,1.14,10.23
483,2.47,3,2.15,4.87,6.33
484,4.13,2,2.19,3.42,7.61
485,1.49,10,0.17,3.03,7.87
486,5.99,10,1.55,4.16,11.28
487,3.17,12,2.05,1.97,11.23
488,1.63,12,1.31,3.5,11.73
489,3.63,7,2.02,3.57,11.03
490,4.75,11,2.44,3.38,10.73
491,4.47,10,1.01,1.79,8.7
492,4.32,9,1.03,2.82,6.86
493,1.09,2,1.67,2.21,6.72
494,5.43,11,0.28,4.19,7.06
495,2.7,9,1.68,3.26,11.22
496,1.27,9,1.23,2.16,6.24
497,4.99,9,1.8,1.69,8.42
498,4.66,9,0.98,2.88,7.84
499,3.34,10,2.48,1.04,6.97
500,4.08,12,0.21,3.4,11.05
501,4.17,6,0.5,4.03,6.85
502,3.64,9,1.31,4.04,9.26
503,1.68,10,2.11,3.31,9.11
504,2.33,11,1.49,1.04,8.43
505,2.74,5,0.65,3.98,8.18
506,5.6,10,1.5,1.58,10.32
507,1.48,10,1.26,4.79,11.53
508,5.23,3,2.49,2.44,7.07
509,5.73,2,0.06,4.15,8.47
510,1.31,12,2.81,2.94,7.91
511,4.36,4,2.66,2.31,11.59
512,2.0,9,2.57,3.2,11.0
513,3.71,5,2.98,1.12,11.59
514,5.14,5,2.5,3.9,8.06
515,2.14,4,0.13,2.22,11.74
516,2.13,8,2.32,3.08,11.54
517,1.21,4,2.49,4.71,10.67
518,2.05,4,2.89,2.03,8.94
519,5.25,10,2.71,2.88,6.85
520,2.85,7,2.74,3.42,10.26
521,4.39,5,1.44,2.27,10.63
522,2.79,10,2.76,3.54,9.94
523,5.99,7,0.63,4.77,7.7
524,4.77,8,1.29,4.39,9.63
525,5.33,10,2.39,3.39,11.46
526,1.53,9,2.03,1.83,9.51
527,5.02,11,1.19,2.89,10.55
528,5.95,3,2.28,4.11,7.77
529,4.09,8,2.99,4.21,11.83
530,1.59,9,1.13,2.8,7.96
531,4.36,9,0.67,4.0,6.19
532,5.49,2,1.68,3.93,10.24
533,2.06,6,2.67,4.88,8.13
534,1.94,12,2.75,4.05,7.8
535,3.7,8,1.39,4.11,9.41
536,1.81,7,2.73,3.37,9.35
537,4.26,5,1.55,3.79,10.61
538,5.76,8,0.87,4.61,11.36
539,2.01,5,2.71,4.57,8.57
540,5.11,7,2.3,1.74,8.61
541,1.9,3,0.68,2.92,7.4
542,3.81,3,1.68,2.98,9.42
543,4.42,3,2.42,4.17,9.93
544,4.17,11,0.64,3.51,9.0
545,3.93,7,2.7,4.68,7.74
546,5.75,12,0.5,3.74,10.92
547,1.31,12,0.61,2.78,9.27
548,3.59,4,2.65,4.16,10.74
549,4.24,2,1.75,1.07,7.48
550,4.89,12,2.94,1.69,6.99
551,4.02,5,0.28,3.39,11.24
552,5.56,3,0.27,1.89,11.0
553,5.73,4,1.28,4.95,10.15
554,3.27,9,1.74,1.2,7.28
555,3.79,5,1.12,2.65,10.58
556,2.34,4,1.33,1.89,11.87
557,5.08,2,1.61,2.95,7.98
558,4.85,11,2.04,2.6,10.81
559,1.27,2,0.67,4.44,8.47
560,1.61,6,0.12,3.73,7.61
561,2.48,9,2.77,3.69,6.38
562,1.73,12,1.66,2.53,10.88
563,2.18,6,2.37,1.13,9.43
564,3.7,4,0.13,4.5,6.82
565,5.37,4,2.45,4.54,9.57
566,2.41,10,1.88,1.66,6.49
567,4.65,12,2.76,4.04,11.23
568,3.14,3,1.11,4.23,7.89
569,2.33,10,0.64,4.54,7.74
570,3.27,10,0.99,4.66,8.01
571,1.39,9,2.09,1.23,8.69
572,1.87,5,0.43,1.3,6.98
573,4.1,3,0.85,2.47,6.57
574,4.92,10,0.25,4.66,10.18
575,5.73,8,2.63,2.96,7.15
576,2.28,6,2.21,4.92,11.67
577,1.95,11,2.4,4.08,10.93
578,5.14,9,2.2,2.54,6.15
579,3.64,10,1.98,3.55,11.96
580,1.42,2,0.34,4.83,8.22
581,4.71,10,0.64,1.32,10.03
582,1.64,8,2.44,1.67,6.71
583,3.2,3,0.33,1.45,7.76
584,2.91,10,0.75,2.78,8.69
585,5.43,4,1.88,3.11,7.95
586,5.76,5,2.64,1.69,6.38
587,2.34,5,1.08,1.59,6.63
588,5.0,11,2.01,2.47,7.67
589,2.19,2,2.99,1.78,10.45
590,2.26,7,2.39,3.83,7.99
591,1.56,4,0.28,2.53,10.31
592,5.78,8,1.8,3.95,10.99
593,1.82,5,1.37,1.74,10.43
594,5.07,8,1.52,2.4,7.13
595,5.06,5,1.58,2.44,7.71
596,4.62,5,1.64,2.72,7.91
597,1.08,9,0.23,1.88,10.62
598,4.13,9,1.38,1.09,11.99
599,5.11,12,0.67,4.11,6.25
600,3.58,4,2.15,4.65,6.67
601,2.37,12,1.54,2.99,11.27
602,1.99,12,1.59,3.78,9.13
603,4.39,11,2.71,2.17,6.28
604,2.86,5,0.21,2.99,7.78
605,3.83,3,1.06,2.9,9.26
606,5.62,12,1.9,2.39,8.29
607,4.57,10,0.79,1.47,8.95
608,1.34,3,0.06,4.94,10.01
609,4.25,3,1.28,1.91,11.95
610,5.77,5,0.37,3.35,10.57
611,5.59,9,1.63,3.09,7.73
612,1.76,7,1.92,1.91,6.05
613,4.17,12,1.36,4.36,8.17
614,4.87,2,2.49,3.64,8.88
615,5.54,8,0.41,4.47,9.29
616,1.47,8,2.7,3.4,11.6
617,5.68,9,2.62,3.21,6.82
618,2.42,9,0.26,1.3,8.45
619,5.05,3,0.88,3.43,9.33
620,5.76,3,2.79,2.66,11.16
621,3.15,12,0.23,3.04,6.42
622,2.71,7,1.66,3.35,11.39
623,4.57,5,0.05,4.66,8.18
624,4.82,9,0.62,2.69,8.86
625,2.8,12,2.46,2.27,8.33
626,2.7,3,0.12,3.67,10.87
627,2.96,11,1.12,4.77,8.53
628,4.39,8,0.87,4.41,6.4
629,2.79,10,0.56,1.97,11.91
630,5.33,5,1.75,4.21,6.57
631,3.47,4,0.37,4.46,8.52
632,5.49,11,0.32,3.99,7.86
633,2.41,11,0.76,4.36,11.47
634,4.69,11,2.21,1.27,10.13
635,2.17,11,0.01,4.95,7.57
636,1.59,10,2.15,1.25,10.15
637,4.52,3,1.79,1.72,8.99
638,3.59,6,2.59,2.23,6.69
639,5.14,5,2.77,3.71,6.76
640,2.55,3,2.68,3.42,11.11
641,4.32,5,0.09,1.47,10.24
642,2.07,5,2.59,4.56,7.62
643,4.12,4,0.93,1.79,6.49
644,1.87,10,0.02,4.2,7.15
645,3.74,5,1.53,1.78,11.76
646,3.52,12,2.16,3.89,7.68
647,3.75,7,2.61,4.15,6.95
648,1.89,3,1.23,4.88,6.27
649,1.28,11,1.88,2.86,8.16
650,2.99,2,2.02,3.21,9.59
651,2.34,10,0.46,4.83,8.13
652,3.6,6,1.71,3.9,6.87
653,1.44,5,1.2,1.46,9.39
654,1.92,5,2.45,4.35,6.13
655,4.56,11,0.74,3.18,11.18
656,2.74,3,2.35,1.21,7.82
657,4.23,9,2.12,3.44,9.49
658,3.08,6,1.11,2.43,11.59
659,1.15,2,1.82,1.42,10.97
660,3.82,12,2.05,4.65,10.75
661,1.48,12,0.79,2.91,11.21
662,4.32,3,0.44,2.33,9.35
663,3.93,4,2.26,2.13,7.92
664,1.57,6,2.05,4.71,10.36
665,4.16,2,1.42,1.08,11.62
666,1.93,2,2.6,2.44,8.66
667,3.35,10,1.31,3.89,8.71
668,1.09,6,0.27,1.73,11.7
669,3.72,7,1.68,4.82,11.3
670,3.19,6,0.93,4.31,9.46
671,3.66,9,2.16,2.04,6.16
672,2.74,8,0.22,3.15,11.88
673,2.01,8,1.37,1.57,8.9
674,2.85,9,0.65,4.87,7.59
675,1.15,5,1.23,1.25,8.35
676,4.11,9,2.73,4.7,11.11
677,2.84,2,0.86,1.89,9.43
678,4.71,7,0.77,1.12,7.69
679,4.52,8,2.0,4.63,6.98
680,4.9,12,2.39,4.18,9.36
681,5.51,9,2.4,3.7,10.65
682,3.16,4,0.7,3.57,9.03
683,2.81,8,0.91,3.24,6.29
684,3.55,11,0.46,2.01,9.56
685,3.5,6,0.37,2.34,7.13
686,5.84,9,1.14,4.74,10.29
687,3.58,2,0.65,2.05,7.3
688,5.76,8,0.11,1.01,7.31
689,3.45,6,2.32,2.46,10.97
690,2.47,10,2.84,3.44,6.33
691,2.39,12,1.22,2.41,8.49
692,1.75,7,1.78,1.6,8.51
693,1.79,10,1.24,1.31,6.8
694,1.71,12,1.11,2.6,6.94
695,3.49,5,0.84,2.12,8.31
